DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
;;EuroActive ISO 200;Agfachrome CTx 200;Agfa-Gevaert;1;;1997;;Ringfoto;0;
;;Eurocolor XR100;Agfacolor XRG;Agfa-Gevaert;2;;1990;;Unknown;0;EuroColor.jpg
;;Euromed Plus;X-ray, sheets;;;;;;;1;
;;europa-foto CD21 #europafoto;Fomachrom II;Fotochema;3;Made in CSSR – Czechoslovakia;1985;;Fotoco;0;
;;europa-foto CN21II #europafoto;Konica Color SR100;Konishiroku (Konica);3;Made in Japan;1984;;Fotoco;0;
;;europa-foto DC100 #europafoto;Sakuracolor R-100 (E-4);Konishiroku (Konica);3;Made in Japan;1972;;Fotoco;0;
;;europa-foto HR100 #europafoto;Konica Color GX;Konica;3;Made in Japan;1989;;Fotoco;0;
;;europa-foto HR200 #europafoto;Konica Color GX;Konica;3;Made in Japan;1989;;Fotoco;0;
;;"Europan 100 Panchromatique ""La pellicule européenne""";;;;Fabriqué en France sous licence;;;;0;Europan100.jpg
;;"Europan 400 ""La pellicule européenne""";Fortepan 400;;1;;;;;0;
;;"Evidence Film, 100 ISO Color ""For Official Use Only""";Used by some police departments in the USA ?;Unknown;;;;;;0;
;;EXETER PAN ml X EXE-FIL ISO 100;Fomapan or Ilford surveillance film ?;;2;Made in UE;2021 ?;;EXETER, England;1;ExeterPanX.jpg
;;EXETER PAN ml XX EXE-FIL ISO 400;Fomapan or Ilford surveillance film ?;;2;Made in UE;2021 ?;;EXETER, England;1;ExeterPanXX.jpg
1845;018453;expert CN 135 ;Agfa XRG 200;;2;;90’s;;;0;
;;expert Diafilm;Sakurachrome 100;Konishiroku (Konica);3;Made in Japan;1984;;Expert Läden;0;
;;Explore Film – Cartenz color ISO 100;;;;;;;Film modified in Indonesia;1;
;;Explore Film – Cartenz color ISO 200;;;;;;;Film modified in Indonesia;1;
;;Explore Film – Himalaya color ISO 200;;;;;;;Film modified in Indonesia;1;
;;Express Diachrome FR100;Color Slide 100/400;3M;3;;1986;;Obergassner;0;
;;Express Diachrome FR1000;Color Slide 1000;3M;3;;1986;;Obergassner;0;
;;Express Diachrome FR400;Color Slide 100/400;3M;3;;1986;;Obergassner;0;
;;Extrafilm;Agfacolor HDC plus 100;Agfa-Gevaert;3;;2000;;Extrafilm, CH;0;
0722;007221;Extrafilm 200;Agfacolor Vista 200;Agfa-Gevaert;3;Made in EEC;2002 ?;;Extrafilm, CH;0;Extrafilm200.jpg
1394;013944;Extrafilm 200;Solaris Color FG200;Ferrania;3;Made in EU;2002 ?;;Extrafilm, CH;0;Extrafilm200.jpg
1398;013984;Extrafilm 200;Solaris Color FG Plus 200;Ferrania;3;Made in EU;~2005 ?;;Extrafilm, CH;0;Extrafilm200.jpg
1821;018217;Extrafilm 200;Agfacolor Vista 200;Agfa-Gevaert;3;Fabriqué dans la CE;2002;;Extrafilm, CH;0;Extrafilm200old.jpg
1851;018514;Extrafilm 200;Agfacolor Vista 200;Agfa-Gevaert;3;Made in EEC;2002 ?;;Extrafilm, CH;0;Extrafilm200.jpg
5072;050723;Extrafilm 200;Agfacolor Vista 200;Agfa-Gevaert;3;Fabriqué dans la CE;2002;;Extrafilm, CH;0;Extrafilm200old.jpg
;;Extrafilm 200;Kodak ?;;;Made in USA;;;Extrafilm, CH / Extrafilm.com;0;Extrafilm200.jpg
1396;013964;Extrafilm 400;Solaris Color FG400;Ferrania;4;This film is made in EU;2002;;Extrafilm, CH;0;
0200;902004;Extrafilm 400;Superia X-tra 400;Fuji;4;Made in Japan for Extrafilm Australia;2002;;Extrafilm, CH;0;
;;Extrafilm Color HR200;Perutz SC 200-2 Color;Agfa-Gevaert AG;4;Made in Germany;;;;0;ExtrafilmHR200.jpg
1394;013944;Family Dollar;Solaris FG200;Made by Imation;4;;;;;0;
;;Familymeds Pharmacy Color Print Film ISO 200;;;;;;;Familymeds Pharmacy;0;Familymeds200.jpg
;;FAMOUS MAKE black & white film;;;;Made in USA;;;;0;FamousMake.jpg
;;Fastfotos Colour Print Film ISO 200;;;;;;;;0;Fastfotos200.jpg
;;FAYS Color Print Film ISO 100 #fay’s;3M film;;4;Made in USA;90’s;;FAYS’s Drug stores, NY;0;FAYS100.jpg
1364;013643;FAYS Color Print Film ISO 400 #fay’s;3M Imation Color HP400 (Ferrania);;4;;90’s;;FAYS’s Drug stores, NY;0;
;;Ferrania Controtipo Diretto;;Ferrania;;Made in Italy;30’s ?;;;0;
;;Ferrania Ferraniacolor 17 DIN – N17;;Ferrania;;Made in Italy;1961;1967;;0;
;;Ferrania Ferraniacolor Cine Universal ;;Ferrania SPA;;Italy;1962;1966;;0;
;;Ferrania Ferraniacolor Dia 28 color DIA28;;Ferrania / 3M;;Made in Italy;1962;1971;Ferrania;0;FerraniaDia28.jpg
;;Ferrania Ferraniacolor Invertibile (Reversal,for italian market);;Ferrania SPA;;Made in Italy;1949;1966;;0;FerraniaInvertibile.jpg
;;Ferrania Ferraniacolor Mask;;Ferrania SPA;;Made in Italy;1965;;;0;
;;Ferrania Ferraniacolor Negativa N-27 – 40 ASA N27 negative;;Ferrania SPA;;Made in Italy;1961;;Ferrania;0;FerraniaColorN27.jpg
;;Ferrania Ferraniacolor Reversal (international version);;Ferrania SPA;;Made in Italy;1949;1966;;0;Ferraniacolor.jpg
;;Ferrania Ferraniacolor Tipo 51 (12 ASA – Type 51);;Ferrania;;Made in Italy;1947;1954 ?;;0;
;;Ferrania Ferraniacolor Tipo 54 (Type 54) – Or Tipo 82 (Type 82, 20 ASA) ? ;;Ferrania;;Made in Italy;1953;1962;;0;
;;Ferrania Fotomeccanica Ferralit Orto Super – FOS #Ferralith ortho;Technical film;Ferrania;;;;;;0;
;;Ferrania Fotomeccanica Ferralit Orto TN #Ferralith ortho;Technical film;Ferrania;;;;;;0;
;;Ferrania Fotomeccanica Recta – FR;Technical film;Ferrania;;;;;;0;
1063;010634;Ferrania Imaging Solaris Chrome 100;;Ferrania Imaging Technologies;;Made in Italy;2000;2005;Ferrania;0;
1395;013954;Ferrania Imaging Solaris Color FG Plus 100 #Fgplus100;;Ferrania Imaging Technologies;;Made in Italy;2003;2013;Ferrania;0;SolarisFGplus.jpg
1398;013980;Ferrania Imaging Solaris Color FG Plus 200 #FGplus200;;Ferrania Imaging Technologies;;Made in Italy;2003;2013;Ferrania;0;SolarisFGplus200.jpg
1399;013990;Ferrania Imaging Solaris Color FG Plus 400 #Fgplus400;;Ferrania Technologies;;Made in Italy;2005;2013;Ferrania;0;SolarisFGplus400.jpg
1402;014020;Ferrania Imaging Solaris Color FG Plus 800 #Fgplus800;;Ferrania Technologies;;Made in Italy;2005;2013;Ferrania;0;FerraniaSolarisFGplus800.jpg
1397;013970;Ferrania Imaging Solaris Color FG400i;Will be improved with FG Plus;Ferrania Imaging Technologies;;Made in Italy;2003;2005;Ferrania;0;
1400;014000;Ferrania Imaging Solaris Color FG800;Will be improved with FG800i;Ferrania Imaging Technologies;;Made in Italy;2000;2003;Ferrania;0;
1401;014010;Ferrania Imaging Solaris Color FG800i;Will be improved with FG Plus;Ferrania Imaging Technologies;;Made in Italy;2003;2005;Ferrania;0;
;;Ferrania Infrarosso 7200A infrared film;;Ferrania;;Made in Italy;~1940 ?;End of 70’s ?;Ferrania;0;
;;Ferrania Infrarosso 8300A infrared film;;Ferrania;;Made in Italy;~1940 ?;End of 70’s ?;Ferrania;0;
;;Ferrania Infrarosso I.72 #infrared film I72;;Ferrania;;Made in Italy;40’s;;Ferrania;0;
1393;013930;Ferrania lmaging Solaris Color FG100;Will be improved with FG Plus;Ferrania Imaging Technologies;;Made in Italy;2000;2003;Ferrania;0;
1394;013940;Ferrania lmaging Solaris Color FG200;Will be improved with FG Plus;Ferrania Imaging Technologies;;Made in Italy;2000;2003;Ferrania;0;
1396;013960;Ferrania lmaging Solaris Color FG400;Will be improved with FG400i;Ferrania Imaging Technologies;;Made in Italy;2000;2003;Ferrania;0;FerraniaSolarisFG400.jpg
;;Ferrania Microfilm Ortho;;Ferrania;;;;;;0;
;;Ferrania Microfilm Ortho Safety Film;;Ferrania;;Made in Italy;60's ?;;Ferrania;0;FerraniaMicrofilmOrtho.jpg
;;Ferrania Microfilm Pan;;Ferrania;;;;;;0;
;;Ferrania NM64 Color;;Ferrania / 3M;;Made in Italy;~1967;;Ferrania;0;FerraniaNM64.jpg
;;Ferrania pancro #Panchro pancromatica;;Ferrania;;Made in Italy;1953;1960 ?;Ferrania;0;
;;Ferrania pancro 28 #Panchro pancromatica;;Ferrania;;Made in Italy;50’s ?;;Ferrania;0;
;;Ferrania pancro 30 #Panchro pancromatica;;Ferrania;;Made in Italy;1960;;Ferrania;0;
;;Ferrania pancro 32 #Panchro pancromatica;;Ferrania;;Made in Italy;50’s ?;;Ferrania;0;
;;Ferrania pancro 37 – ASA 400 #Panchro pancromatica;;Ferrania;;Made in Italy;;;Ferrania;0;
;;Ferrania pancro C-5 #C5 Panchro pancromatica;;Ferrania;;Made in Italy;~1938;;Ferrania;0;
;;Ferrania pancro C-6 #c6 Panchro pancromatica;;Ferrania;;Made in Italy;~1940;;Ferrania;0;FerraniaC6.jpg
;;Ferrania pancro C-7 #c7 Panchro pancromatica;;Ferrania;;Made in Italy;1949;;Ferrania;0;FerraniaC7.jpg
;;Ferrania pancro F.2 #Panchro pancromatica F2;;Ferrania;;Made in Italy;1949;;Ferrania;0;
;;Ferrania pancro P.3 28° #Panchro pancromatica P3;;Ferrania;;Made in Italy;40’s;;Ferrania;0;FerraniaP3.jpg
;;Ferrania pancro P24 – 20 ASA B&W #Panchro;;Ferrania;;Made in Italy;1961;;Ferrania;0;
;;Ferrania pancro P27 – 40 ASA B&W #Panchro;;Ferrania;;Made in Italy;1961;;Ferrania;0;FerraniaP27.jpg
;;Ferrania pancro P30 (2d batch) - 80 ASA B&W #Panchro new pancromatica #notAlpha fp30;2d batch, improved emulsion, only small quantity for Italian market (2019), then worldwide avalability in 2020…;FILM Ferrania s.r.l;;Made in Italy, Cairo Montenotte;Nov 2019;;Ferrania;2;FerraniaP30-2019.jpg
;;Ferrania pancro P30 (original 60's version) – 80 ASA B&W #Panchro pancromatica fp30;;Ferrania;;Made in Italy;1961;;Ferrania;0;FerraniaP30.jpg
;;Ferrania pancro P30 Alpha (1st batch) - 80 ASA B&W #Panchro new pancromatica FP30a;Based on old italian cine film emulsion. Produced by a new team after a Kickstarter, using test equipment from Ferrania;FILM Ferrania s.r.l;;Made in Italy, Cairo Montenotte;2017;Oct 2018;Ferrania;0;FerraniaP30Alpha.jpg
;;Ferrania pancro P33 – 160 ASA B&W #Panchro pancromatica;;Ferrania;;Made in Italy;1961;;Ferrania;0;FerraniaP33.jpg
;;Ferrania pancro P33 (2024 version) – 160 ASA B&W #Panchro pancromatica;;FILM Ferrania s.r.l;;Made in Italy;2024;;Ferrania;0;
;;Ferrania pancro P36 – 320 ASA B&W #Panchro pancromatica;;Ferrania;;Made in Italy;1961;;Ferrania;0;FerraniaP36Panchro.jpg
;;Ferrania pancro S.2 / 32° #S2;;Ferrania;;Made in Italy;50’s;;Ferrania;0;
;;Ferrania pancro S.4 #S4;;Ferrania;;Made in Italy;50’s;;Ferrania;0;
;;Ferrania pancro Studio #Panchrostudio;;Ferrania;;Made in Italy;~1945 ?;;Ferrania;0;
;;Ferrania Solaris FG100;;Ferrania;;Finished in the USA by 3M in Oklahoma. Emulsion is made in Italy;2008;2012;3M;0;SolarisFG100.jpg
1394;013944;Ferrania Solaris FG200;;Ferrania;;Finished in the USA by 3M in Oklahoma. Emulsion is made in Italy;2008;2012;3M;0;SolarisFG200.jpg
;;Ferrania Solaris FG400;;Ferrania;;Finished in the USA by 3M in Oklahoma. Emulsion is made in Italy;2008;2012;3M;0;SolarisFG400.jpg
;;Ferrania Sound recording Type SAV – Per il suono Typo S.A.V ;;Ferrania;;Made in Italy;30’s ?;;Ferrania;0;
;;Ferrania Sound recording Type SDV – Per il suono Typo S.D.V ;;Ferrania;;Made in Italy;30’s ?;;Ferrania;0;
;;Ferrania Super Pancro 28 ASA 40 #superpanchro superpancro;;Ferrania;;Made in Italy;;;Ferrania;0;
;;Ferrania Super Pancro 32 ASA 100 #superpanchro superpancro;;Ferrania;;Made in Italy;;;Ferrania;0;FerraniaSuperPan32.jpg
;;Ferrania Super pancro P.3 #superpanchro superpancro P3;;Ferrania;;Made in Italy;40’s;;Ferrania;0;FerraniaSuperP3.jpg
;;Ferrania Super pancro S.2 #superpanchro superpancro S2;;Ferrania;;Made in Italy;40’s;;Ferrania;0;FerraniaSuperS2.jpg
;;Ferrania Super pancro S.4 #superpanchro superpancro S4;;Ferrania;;Made in Italy;40’s;;Ferrania;0;FerraniaSuperS2.jpg
;;Ferrania Type HS Color Release Positive ;;Ferrania;;Italy;1968;1970;;0;
;;Ferrania Ultracromatica 30 ASA 64 #Ultrachromatica;;Ferrania;;Made in Italy;;;Ferrania;0;FerraniaUltraChroma.jpg
;;Ferrania Ultracromatica U.2 #Ultrachromatica U2;;Ferrania;;Made in Italy;40’s;;Ferrania;0;FerraniaUltraChroma.jpg
;;Ferrania X-ray Schermografica X2A #xray;;Ferrania;;Made in Italy;40’s ??;;Ferrania;0;
;;Ferrania X-ray Schermografica X3V #xray;;Ferrania;;Made in Italy;40’s ??;;Ferrania;0;
;;FFS Black & White Panchromatic film Specially packed for Free Film Service;Verichrome Pan;Kodak;4;Made in USA;;;;0;
;;FFS Colour Slide 100 - Free Film Service;;;;;;;Free Film Service (UK);0;
;;FFS Colour Slide 64 - Free Film Service;;;;;;;Free Film Service (UK);0;FFS64slide.jpg
0385;003850;FILM (blue can) für Farbdiapositive / for Color Slides – Process E6;IMATION CHROME 100;3M / Ferrania;4;;;;;0;
;;Film Express Maxx 400;;Agfa ?;;Made in Germany;;;Fotomaxx, CH ??;0;ExpressMaxx400.jpg
;;Film Photography Project - Basic color film #FPP;;;;;;;Film Photography Project;2;
;;Film Photography Project - Blue Ultra Color #FPP;Kodak color copy film (Vision 2383/3383?), C41 no remjet. Produces soft blue / violet hued images ;;1;;2022;;Film Photography Project;2;
;;Film Photography Project - BW (iso 100) #FPP;ORWO UN54;Orwo/InovisCoat;4;Made in Germany;;;Film Photography Project;2;
;;Film Photography Project - BW (iso 200) BW200 FPP S surveillance;"""manufactured by Foma for a private surveillance company here in the USA"" - Foma GUARD 200 ?";Foma;3;;;;Film Photography Project;2;
;;Film Photography Project - BW (iso 400) BW400 #FPP;Orwo N74+;Orwo/InovisCoat;4;Made in Germany;;;Film Photography Project;2;
;;Film Photography Project - BW Blue sensitive (ISO 6) #FPP;;;;;;;Film Photography Project;1;
;;Film Photography Project - BW Eastman Kodak 5302 Fine Grain #FPP;Kodak titles and mats film 5302;;4;;;;Film Photography Project;2;
;;Film Photography Project - BW Film - Emulsion X High Grain #FPP;Unknown old B&W film…;;;;;;Film Photography Project;2;
;;Film Photography Project - BW Infrared Film #FPP;Unknown IR B&W film…;;;;;;Film Photography Project;2;
;;Film Photography Project - BW New Classic EZ400 #FPP;;;;;;;Film Photography Project;1;
;;Film Photography Project - Color IR (infrared) InfraChrome #FPP;"Unknown infrared, ""identical to Kodak Aerochrome IIII 1443""";;;;;;Film Photography Project;1;FPPInfraChrome.jpg
;;Film Photography Project - DEREV PAN Iso 100 #derevpan FPP;Astrum Svema 100 ? Or other surveillance film…;;1;;2019;;Film Photography Project;2;
;;Film Photography Project - DEREV PAN Iso 200 #derevpan FPP;Astrum Svema 200 ? Or other surveillance film…;;1;;2019;;Film Photography Project;2;
;;Film Photography Project - DEREV PAN Iso 400 #derevpan FPP;Astrum Svema 400 ? Or other surveillance film…;;1;;2019;;Film Photography Project;2;
;;Film Photography Project - Eastman SO-331 #FPP;Eastman SO-331 high contrast;Kodak;3;Made in USA;2013;;Film Photography Project;0;
;;Film Photography Project - Kodak Eastman Fine Grain 2366 BW #FPP;Kodak 2366;Kodak;;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Kodak Eastman High Contrast 5363 #FPP;Kodak 5363 for positive and negative titles;Kodak;;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Kodak LPD4 High Contrast – Precision Line Duplicating Film #FPP;Kodak LPD4;Kodak;4;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Kodak Vision 320T #FPP;Kodak VISION 320T (with remjet);kodak;;;;;Film Photography Project;0;
;;Film Photography Project - Kodak Vison3 2254 Super Low Speed #FPP;Kodak Vison 3 2254 dup film without remjet;Kodak;4;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Kodak Vison3 250D #FPP;Kodak Vison 3 250D (With remjet!);Kodak;4;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Kodak Vison3 500T #FPP;Kodak Vison 3 500T (With remjet!);Kodak;4;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Kodak Vison3 50D #FPP;Kodak Vison 3 50D (With remjet!);Kodak;4;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Let It Snow #FPP;"Svema Foto 100, limited edition in ""snow"" cassette";;;;2020;;Film Photography Project;1;
;;Film Photography Project - LOVE #FPP;Surveillance film, B&W ISO 200;;;Made in USA ?;2021;;Film Photography Project;2;
;;Film Photography Project - Monster films : Dracula 64 LTD B&W #FPP limited;"Limited edition for Halloween 2019 : ""FPP’s DRACULA 35 is the classic eastern panchromatic European Svema FN64 formula with an iso of 64""";;;Astrum ?;2019;2019?;Film Photography Project;1;
;;Film Photography Project - Monster films : Frankenstein 200 #FPP;formulated from our FPP Cine16 BW;;;Orwo or Foma ?;2022;;Film Photography Project;1;
;;Film Photography Project - Monster films : The Mummy 400 #FPP;formulated from our FPP Cine16 400 film;;;Orwo or Foma ?;2022;;Film Photography Project;1;
;;Film Photography Project - Monster films : The WolfMan 100 LTD B&W #FPP limited;"Limited edition for Halloween 2020 : <i>""WolfMan (same as our FPP Cine 16 bw 100 Negative) is a black-and-white negative film (triacetate base) with medium to low grain and high resolving power. Film has a speed rating of ISO 100.""</i> Orwo film ?";;;Orwo or Foma ?;2020;2020 ?;Film Photography Project;1;
;;Film Photography Project - Polypan F #FPP;Polypan F…;;;;;;Film Photography Project;0;
;;Film Photography Project - Retrochrome 160 #FPP;RetroChrome is government surplus Eastman Ektachrome [..] cold-stored 2011 expired;Kodak;4;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Retrochrome 320 #FPP;RetroChrome is government surplus Eastman Ektachrome ;Kodak;4;Made in USA;;;Film Photography Project;2;
;;Film Photography Project - Retrochrome E400 ISO 400 #FPP;Kodak Ektachrome 400D code 2253;Kodak;4;Made in USA;2019;;Film Photography Project;2;
;;Film Photography Project - Svema Blue Sensitive #FPP;Technical Svema film, ISO 6;;;;;;Film Photography Project;0;
;;Film Photography Project - Svema Super Positive #FPP;Technical Svema film, ISO 0.8. Could be a rebrand by Svema...;;2;;2014;;Film Photography Project;1;
;;Film Photography Project - X² Eastman double-X 5222 #FPP XX ;Kodak Eastman double-X 5222;Kodak;4;Made in USA;;;Film Photography Project;1;
;;Film-DOSE Color-Negativfilm Ideal ISO 200 #filmdose;;;;;;;;0;FilmDoseIdeal200.jpg
;;Film-DOSE Color-Negativfilm ISO 200 Photo Dose #filmdose;;;;;;;;0;PhotoDoseColorNeg200.jpg
;;Film-DOSE Film Für S/W – B&W film #filmdose;;;;;;;;0;
;;Film-DOSE ISO 100 Colour slide  film #filmdose;;;;;;;;0;FilmDoseIdeal100.jpg
;;Film-DOSE ISO 200 Colour slide  film #filmdose;;;;;;;;0;Filmdose200.jpg
;;Film-DOSE Photo Dose P 150 ISO 100 B&W #filmdose;;;;;;;;0;
;;Film-DOSE Special ISO 100 #filmdose;;;;;;;;0;FilmDoseSpecial.jpg
0625;;FilmNeverDie C-41 Color IRO200 色 200;New batch. Rebanded ProValue 200 / Fujicolor 200. But work in batches, so every batches can be a different cheap film…;;3;;2018;end of 2017 ?;Film Never Die;0;IRO200.jpg
0625;;FilmNeverDie C-41 Color IRO200 色 200;Rebanded ProValue 200 / Fujicolor 200. But work in batches, so every batches can be a different cheap film…;;3;;2017;2018;Film Never Die;0;IRO200.jpg
0197;;FilmNeverDie C-41 Color IRO400 色 400;27 exp Superia 400 produced for disposable cameras;;3;;2019;;Film Never Die;2;Iro400.jpg
1561;;FilmNeverDie C-41 Color KIRO400;Kodak Color Negative 400 Film 400-3 (for disposable cameras?);;4;;2020;;Film Never Die;2;Kiro400.jpg
1206;014061;FilmNeverDie SHIROKURO B&W C-41 ISO 400;C-41 chromogenic Agfa film ?;;1;Made in Belgium;2016;;Film Never Die;0;Shirokuro.jpg
;;Fine Art Pan 125;Ilford FP4+;Ilford;2;Made in UK;;;Fine Art Photo supply ;0;
;;Fine Grain Duplicating Panchromatic Black and White Negative Movie Film – Code 2334;low-speed, panchromatic duplicating negative film;;;;;;;2;
;;Finlay Color;;;;;1929;;;0;
;;Firaimage Kodak Eastmann DOUBLE-X 5222;DOUBLE-X 5222;;;;;;firaimage.com ;1;
;;Firstcall Agfa 400s;Agfa 400S (Rollei retro 400s);Agfa Gevaert;4;;;;Firstcall Photographic LTD;0;Firstcall400s.jpg
;;Fisher Price Creative Effects Picture Pack #fisherprice;Thermal paper for the Fisher Price’s Creative Effects camera;;;Made in China;;;;0;FicherPriceCreative.jpg
1850;018503;Fletchers Colour Print Film ISO 400;Perutz Primera 400 / Agfa Vista 400;;3;;;;Fletchers Photographics;0;
;;FlicFilm Apollo 18;400 ISO C-41, 18 exposures;;;;2024;;FlicFilm, USA;1;
;;FlicFilm Aurora 400;400 ISO C-41;;;;2024;;FlicFilm, USA;1;
;;FlicFilm Aurora 800;800 ISO C-41;;;;2024;;FlicFilm, USA;1;
;;FlicFilm Chrome 100;KODAK Ektachrome 100D ;Kodak;;;2024;;FlicFilm, USA;1;
;;FlicFilm Cine Colour 200T;KODAK VISION3 Color Negative Film 200T, remjet;Kodak;;;2024;;FlicFilm, USA;1;
;;FlicFilm Cine Colour 250D;KODAK VISION3 Color Negative Film 250D, remjet;Kodak;;;2024;;FlicFilm, USA;1;
;;FlicFilm Cine Colour 500T;KODAK VISION3 Color Negative Film 500T, remjet;Kodak;;;2024;;FlicFilm, USA;1;
;;FlicFilm Cine Colour 50D;KODAK VISION3 Color Negative Film 50D, remjet;Kodak;;;2024;;FlicFilm, USA;1;
;;FlicFilm Elektra 100;Re-spooled KODAK Aerocolor IV color negative film;;;;2024;;FlicFilm, USA;1;
;;FlicFilm Wolfen 100;Orwo 54;ORWO;;;2024;;FlicFilm, USA;1;
;;FlicFilm XX – 250;KODAK Double-X Black and White Negative Film;Kodak;;;2024;;FlicFilm, USA;1;
;;FLS Professional HR100;3M;Color Print HR100;3;;1985;;Fotolaborshop;0;
;;FLS Professional RD100;3M;Color Slide 100;3;;1985;;Fotolaborshop;0;
;;FN5 IZO Panchromatic FiP;Plate only ?;;;USSR;;;;0;
;;FN5 Panchromatic FP;Plate only ?;;;USSR;;;;0;
0453;004530;FNAC 100 Film Papier Couleur;Konica Color VX100 Super;Konica;3;Made in Japan;;;French FNAC stores;0;Fnac100.jpg
0454;004543;FNAC 200 Film Papier Couleur;Konica Color VX200 Super;Konica;4;Made in Japan;;;French FNAC stores;0;FNAC200.jpg
0455;004550;FNAC 400 Film Papier Couleur;Konica Color VX400 Super;Konica;3;Made in Japan;;;French FNAC stores;0;Fnac400.jpg
;;Focal 100 by 3M - Kmart brand;SCOTCH COLOR EXH 100;3M;2;Made in USA;;;K-mart / SS Kresge Company, Michigan;0;Focal100by3M.jpg
1067;010673;Focal 200 General Purpose by 3M – K-mart brand #kmart;SCOTCH COLOR EXH 200;3M;3;Made in USA;;;K-mart / SS Kresge Company, Michigan;0;Focal200.jpg
;;Focal 400 Action & Low Light by 3M – K-mart brand #kmart;SCOTCH COLOR EXH 400;3M;2;Made in USA;;;K-mart / SS Kresge Company, Michigan;0;Focal400by3M.jpg
;;Focal Color Print Film ASA 100 – K-mart brand #kmart FocalColor;;;;Manufactured in USA;;;K-mart / SS Kresge Company, Michigan;0;FocalColorPrint100.jpg
;;Focal Color Print Film ASA 400 – K-mart brand #kmart FocalColor;;;;Manufactured in USA;;;K-mart / SS Kresge Company, Michigan;0;FocalColorPrint400.jpg
;;Focal Color Slide Film ASA 100 – K-mart brand #kmart FocalColor;Ferrania;;4;Manufactured in Italy;;;K-mart / SS Kresge Company, Michigan;0;FocalColorSlide100.jpg
;;Focal Color Slide Film ASA 100 Carousel – K-mart brand #kmart FocalColor;Ferrania;;4;Manufactured in Italy;End of 60’s ?;;K-mart / SS Kresge Company, Michigan;0;FocalSlide100carousel.jpg
;;Focal Color Slide Film ASA 400 Carousel – K-mart brand #kmart FocalColor;Ferrania ?;;1;Manufactured in Italy ?;End of 60’s ?;;K-mart / SS Kresge Company, Michigan;0;FocalColorSlide400.jpg
;;Focal Color Slide Film Tungsten ASA 640T - K-mart brand #kmart FocalColor;3M Color Slide 640T;3M / Ferrania;4;Manufactured in Italy ?;1981;;K-mart;0;FocalColorSlide640T.jpg
1852;018523;Focal Colour Print Film ISO 100;PERUTZ SC 100 Color;;4;Made in Germany;;;K-mart ?;0;
;;Focal Daylight or blue flash E-6 PROCESS ASA 100 (slide);;;4;packaged in Australia;;;K-mart ?;0;
1843;018433;Focal ISO 100;Agfa Color 100;Agfa;3;;;;K-mart / SS Kresge Company, Michigan;0;Focal100by3M.jpg
1850;018503;Focal ISO 400;Agfa Color 400;Agfa;3;;;;K-mart / SS Kresge Company, Michigan;0;
;;FocalPlane Black&White Film ISO 400 (Fomapan);Fomapan 400;;4;;;;;1;
;;FocalPlane Color Negative Film 5207;Kodak VISION3 250D 5207;;4;;;;;1;
;;FocalPlane Color Negative Film 5219;Kodak VISION3 500T 5219;;4;;;;;1;
;;FOCI Color VHR100;;;;Made in Germany;;;;0;FociGeneric.jpg
;;Focus Panchromatic Film #PanFilm;;;;;;;Fucus LTD, UK;0;FocusPanFilm.jpg
;;FOKUS Color Film ISO 100;;;;;;;;0;
;;Foma AIR 100 - ISO 100;Aerial film;FOTOCHEMA Ltd;;cz;;;Foma Bohemia LTD, CS;2;FomaAir100.jpg
;;Foma AIR 200 - ISO 200;Aerial film;FOTOCHEMA Ltd;;cz;;;Foma Bohemia LTD, CS;1;FomaAir200.jpg
;;Foma AIR 800 - ISO 800;Aerial film;FOTOCHEMA Ltd;;cz;;1999;Foma Bohemia LTD, CS;0;
;;Foma CINE KP3;Low speed film with exceedingly fine grain,designed for making copies from duplication negatives;FOTOCHEMA Ltd;;cz;~1999 ?;~2000 ?;Foma Bohemia, CS;0;
;;Foma DENTIX D;Film for dental diagnostics providing high contrast, medium speed (ISO speed D) and fine granularity.;Foma;;;;;Foma Bohemia LTD, CS;0;
;;Foma DENTIX E;Film for dental diagnostics, double-emulsion high speed (ISO speed E) non-screen X-ray film;Foma;;;;;Foma Bohemia LTD, CS;0;
;;Foma DOKUMENT MIKRO MO;Medium-speed, hard contrast, orthochromatically sensitized black-and-white film providing high optical density;FOTOCHEMA Ltd;;cz;;~1999 ?;Foma Bohemia LTD, CS;0;
;;Foma DOKUMENT MK1;Extra fine-grained, nonsensitized film providing high resolving power;FOTOCHEMA Ltd;;cz;;~1999 ?;Foma Bohemia, CS;0;
;;Foma DOKUMENT PAN;Fine-grained, panchromatically sensitized film providing high resolving power and optimum contrast.;FOTOCHEMA Ltd;;cz;;~1999 ?;Foma Bohemia, CS;0;
;;Foma Equicolor 100;Rebranded Ferrania color film for CZ market.;Ferrania;3;Made in Italy;2002;2006 ?;Foma, CS;0;
